iter	RMSE
0	13.42538468
1	13.07690549
2	12.68727278
3	12.40286937
4	12.07334631
5	11.74791325
6	11.43818121
7	11.13442223
8	10.92904863
9	10.78921699
10	10.56991931
11	10.34601966
12	10.09901064
13	9.914377154
14	9.693466902
15	9.51355571
16	9.419808305
17	9.322010783
18	9.161427503
19	9.008941487
20	8.865958308
21	8.714133304
22	8.570003821
23	8.414800204
24	8.210608104
25	8.122412566
26	8.029959667
27	7.898278842
28	7.824489393
29	7.690917908
30	7.607131109
31	7.489987533
32	7.354296349
33	7.251899991
34	7.129754316
35	7.071295139
36	7.010884729
37	6.934100811
38	6.868387916
39	6.796493552
40	6.682163665
41	6.60012299
42	6.483065307
43	6.383891635
44	6.298284151
45	6.209886839
46	6.117035465
47	6.03526035
48	5.993915851
49	5.946030382
50	5.874612083
51	5.789229281
52	5.73101658
53	5.657244247
54	5.59308775
55	5.544641049
56	5.482817471
57	5.414812013
58	5.364063644
59	5.306305569
60	5.243867388
61	5.198744169
62	5.154176301
63	5.116326479
64	5.040401954
65	5.006492837
66	4.970237184
67	4.921755142
68	4.839960457
69	4.804342021
70	4.743514161
71	4.700896324
72	4.63260124
73	4.597144234
74	4.558793001
75	4.527187868
76	4.468446572
77	4.425999615
78	4.389916512
79	4.362515879
80	4.31414245
81	4.283183894
82	4.253182634
83	4.235467863
84	4.209600414
85	4.195874911
86	4.188118442
87	4.174361667
88	4.167224726
89	4.156245242
90	4.117584239
91	4.108965056
92	4.073170557
93	4.039432943
94	4.008154521
95	4.002717385
96	3.977515517
97	3.955437987
98	3.934573616
99	3.911932531
