iter	Passed	Remaining
0	1	194
1	4	233
2	6	210
3	7	174
4	9	180
5	10	171
6	12	172
7	14	170
8	18	188
9	20	184
10	22	180
11	23	174
12	25	172
13	28	175
14	30	170
15	31	165
16	33	161
17	34	158
18	37	157
19	39	156
20	40	152
21	42	152
22	46	156
23	48	154
24	50	152
25	52	148
26	53	144
27	56	144
28	57	141
29	59	138
30	60	134
31	61	131
32	63	128
33	66	128
34	68	126
35	69	122
36	70	120
37	72	117
38	73	115
39	75	113
40	77	110
41	78	108
42	79	105
43	81	103
44	82	100
45	84	99
46	85	96
47	87	94
48	88	91
49	89	89
50	90	87
51	92	85
52	93	83
53	95	80
54	96	78
55	97	76
56	98	74
57	99	71
58	100	69
59	102	68
60	103	65
61	104	64
62	105	62
63	106	60
64	108	58
65	109	56
66	110	54
67	112	52
68	113	50
69	114	49
70	115	47
71	116	45
72	117	43
73	118	41
74	120	40
75	121	38
76	122	36
77	123	34
78	125	33
79	126	31
80	127	29
81	128	28
82	130	26
83	132	25
84	133	23
85	134	21
86	136	20
87	137	18
88	138	17
89	139	15
90	141	13
91	142	12
92	143	10
93	144	9
94	145	7
95	146	6
96	148	4
97	149	3
98	151	1
99	152	0
