No,Apolymer,Bpolymer,PTApolymer,A:B:PTA,Cat,mol%,Mpa
1,CC(OCC(O)CN(CC(COC(C)=O)O)CC1=CC=CO1)=O,CC(OCC(CN(CC1=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,3.47
2,CC(OCC(O)CN(CC(COC(C)=O)O)CC1=CC=CO1)=O,CC(OCC(CN(CC1=CC=C(CC2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,8.88
3,CC(OCC(O)CN(CC(COC(C)=O)O)CC1=CC=CO1)=O,CC(OCC(CN(CC1=CC=C(C(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,2.87
4,CC(OCC(O)CN(CC(COC(C)=O)O)CC1=CC=CO1)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,3.36
5,CC(OCC(O)CN(CC(COC(C)=O)O)CC1=CC=CO1)=O,CC(OCC(CN(C1=CC=C(CC(C=C2)=CC=C2N(CC(O)COC(C)=O)C(COC(C)=O)O)C=C1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,19.63
6,CC(OCC(O)COCC1=CC=C(COCC(COC(C)=O)O)O1)=O,CC(OCC(CN(CC1=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,27.35
7,CC(OCC(O)COCC1=CC=C(COCC(COC(C)=O)O)O1)=O,CC(OCC(CN(CC1=CC=C(CC2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,10.36
8,CC(OCC(O)COCC1=CC=C(COCC(COC(C)=O)O)O1)=O,CC(OCC(CN(CC1=CC=C(C(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,13
9,CC(OCC(O)COCC1=CC=C(COCC(COC(C)=O)O)O1)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,49.32
10,CC(OCC(O)COCC1=CC=C(COCC(COC(C)=O)O)O1)=O,CC(OCC(CN(C1=CC=C(CC(C=C2)=CC=C2N(CC(O)COC(C)=O)C(COC(C)=O)O)C=C1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,11.48
11,CC(OCC(O)COCC1=CC=C(COCC2=CC=C(COCC(COC(C)=O)O)O2)O1)=O,CC(OCC(CN(CC1=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,5.17
12,CC(OCC(O)COCC1=CC=C(COCC2=CC=C(COCC(COC(C)=O)O)O2)O1)=O,CC(OCC(CN(CC1=CC=C(CC2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,16.89
13,CC(OCC(O)COCC1=CC=C(COCC2=CC=C(COCC(COC(C)=O)O)O2)O1)=O,CC(OCC(CN(CC1=CC=C(C(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,16.25
14,CC(OCC(O)COCC1=CC=C(COCC2=CC=C(COCC(COC(C)=O)O)O2)O1)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,12.72
15,CC(OCC(O)COCC1=CC=C(COCC2=CC=C(COCC(COC(C)=O)O)O2)O1)=O,CC(OCC(CN(C1=CC=C(CC(C=C2)=CC=C2N(CC(O)COC(C)=O)C(COC(C)=O)O)C=C1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,21.9
16,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,13.97
17,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(CC2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,43.65
18,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,44.49
19,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,63.47
20,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(C1=CC=C(CC(C=C2)=CC=C2N(CC(O)COC(C)=O)C(COC(C)=O)O)C=C1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,38.97
21,CC(OCC(O)COC(C1=CC=C(COCC2=CC=C(C(OCC(COC(C)=O)O)=O)O2)O1)=O)=O,CC(OCC(CN(CC1=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,14.85
22,CC(OCC(O)COC(C1=CC=C(COCC2=CC=C(C(OCC(COC(C)=O)O)=O)O2)O1)=O)=O,CC(OCC(CN(CC1=CC=C(CC2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,38.84
23,CC(OCC(O)COC(C1=CC=C(COCC2=CC=C(C(OCC(COC(C)=O)O)=O)O2)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,51.19
24,CC(OCC(O)COC(C1=CC=C(COCC2=CC=C(C(OCC(COC(C)=O)O)=O)O2)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,19
25,CC(OCC(O)COC(C1=CC=C(COCC2=CC=C(C(OCC(COC(C)=O)O)=O)O2)O1)=O)=O,CC(OCC(CN(C1=CC=C(CC(C=C2)=CC=C2N(CC(O)COC(C)=O)C(COC(C)=O)O)C=C1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.02,46.43
27,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,15:00:30,C12=NCCCN1CCCN2,0.02,18.1
28,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,12:06:30,C12=NCCCN1CCCN2,0.02,43.06
29,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,7.5:15:30,C12=NCCCN1CCCN2,0.02,19.63
30,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,0:30:30,C12=NCCCN1CCCN2,0.02,1.66
31,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:15,C12=NCCCN1CCCN2,0.02,32.31
