No,Mpa,MolWt,ExactMolWt,LogP,TPSA,LabuteASA,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,NumAromaticRings,NumRings,FractionCSP3,HeavyAtomCount,BalabanJ,BertzCT,Chi0,Chi1,Chi2n,Chi3n,Chi4n,HallKierAlpha,Kappa1,Kappa2,Kappa3,MorganBits_Sum,MorganBits_Mean,MorganBits_Variance,NumEster,NumEther,NumCO,NumC,NumO,NumN,OtoC_Ratio,NtoC_Ratio,StoC_Ratio,RotatableBondRatio,NumFuran,CrosslinkingPotential,AromaticAtomRatio,AvgMolWtPerFragment,CyclicityRatio,BranchingRatio
1,3.47,1324.7069999999994,1323.4261974879994,4.648900000000013,333.63999999999993,521.7254374873028,31.0,31.0,51.0,2.0,2.0,0.7407407407407407,85.0,1.8436794310401667,2138.3661215857346,62.94416080637672,40.525426252340004,19.69808408071801,11.52050985897739,7.4267093076543045,-2.9600000000000004,78.13575903712862,47.05482538259099,41.06146018985293,70.0,0.2734375,0.19866943359375,6.0,6.0,6.0,54.0,22.0,3.0,0.4074074074074074,0.05555555555555555,0.1111111111111111,0.6,2.0,0.17647058823529413,0.11764705882352941,441.5689999999998,0.023529411764705882,3.473684210526316
2,8.88,1404.793,1403.4524122359994,5.8327000000000115,346.7799999999999,555.94180307184,32.0,32.0,53.0,3.0,3.0,0.6949152542372882,91.0,1.4437757776263127,2480.521286755549,66.92728846950217,43.47491599512316,21.24288186741814,12.586278626218695,8.210769856681436,-3.680000000000001,81.55285353095258,48.08046881526864,40.35576601473199,71.0,0.27734375,0.2004241943359375,6.0,6.0,6.0,59.0,23.0,3.0,0.3898305084745763,0.05084745762711865,0.1016949152542373,0.5824175824175825,3.0,0.16483516483516483,0.16483516483516483,468.2643333333333,0.03296703296703297,3.789473684210526
3,2.87,1418.8200000000002,1417.4680622999992,6.3937000000000115,346.7799999999999,562.3067451862366,32.0,32.0,53.0,3.0,3.0,0.7,92.0,1.4640821593580493,2516.4261034711963,67.79753195750524,43.90243635005173,21.65990517727871,13.021631696517343,8.399043480932647,-3.680000000000001,82.55030013941179,48.08701325755067,38.76322172190089,74.0,0.2890625,0.20550537109375,6.0,6.0,6.0,60.0,23.0,3.0,0.38333333333333336,0.05,0.1,0.5760869565217391,3.0,0.16304347826086957,0.16304347826086957,472.94000000000005,0.03260869565217391,3.6
4,3.36,1432.847,1431.4837123639993,6.5678000000000125,346.7799999999999,568.6716873006333,32.0,32.0,53.0,3.0,3.0,0.7049180327868853,93.0,1.4847430994483626,2566.0935592687347,68.72018168831562,44.235769683385065,22.48698102688957,13.358504024845926,8.553456821092643,-3.680000000000001,83.54780213461434,47.29987849124702,38.16103768302525,77.0,0.30078125,0.2103118896484375,6.0,6.0,6.0,61.0,23.0,3.0,0.3770491803278688,0.04918032786885246,0.09836065573770492,0.5698924731182796,3.0,0.16129032258064516,0.16129032258064516,477.61566666666664,0.03225806451612903,3.4285714285714284
5,19.63,1396.8169999999998,1395.4625829959994,6.655500000000011,320.49999999999994,557.6232603148932,30.0,30.0,51.0,3.0,3.0,0.639344262295082,91.0,1.4678024674225754,2496.2935714856226,66.92728846950217,43.50858949993438,21.273552793830216,12.867390501529119,8.322374021790644,-4.120000000000001,81.11399504666937,47.70982906846527,38.74566322118946,73.0,0.28515625,0.2038421630859375,6.0,6.0,6.0,61.0,21.0,3.0,0.3442622950819672,0.04918032786885246,0.09836065573770492,0.5604395604395604,1.0,0.16483516483516483,0.18681318681318682,465.6056666666666,0.03296703296703297,3.789473684210526
6,27.35,1295.6649999999997,1294.3996483919993,4.931900000000011,330.3999999999999,509.60066170270284,30.0,30.0,49.0,2.0,2.0,0.7358490566037735,83.0,1.8172731431433808,2127.140082421009,61.52994724400363,39.525426252340004,19.188283647901446,11.219191611416448,7.208120008325742,-2.920000000000001,76.1780595215698,45.372995302313875,39.48751592577666,64.0,0.25,0.1875,6.0,6.0,6.0,53.0,22.0,2.0,0.41509433962264153,0.03773584905660377,0.11320754716981132,0.5903614457831325,2.0,0.18072289156626506,0.12048192771084337,431.88833333333326,0.024096385542168676,3.3684210526315788
7,10.36,1375.751,1374.4258631399994,6.11570000000001,343.5399999999999,543.8170272872401,31.0,31.0,51.0,3.0,3.0,0.6896551724137931,89.0,1.4268406245243992,2468.8494486908216,65.51307490712907,42.47491599512317,20.73308143460157,12.284960378657754,7.992180557352869,-3.6400000000000006,79.59802605361672,46.43319008815813,38.852423268003285,65.0,0.25390625,0.1894378662109375,6.0,6.0,6.0,58.0,23.0,2.0,0.39655172413793105,0.034482758620689655,0.10344827586206896,0.5730337078651685,3.0,0.16853932584269662,0.16853932584269662,458.58366666666666,0.033707865168539325,3.6842105263157894
8,13.0,1389.778,1388.4415132039994,6.67670000000001,343.5399999999999,550.1819694016365,31.0,31.0,51.0,3.0,3.0,0.6949152542372882,90.0,1.4478033926671396,2504.7120441901507,66.38331839513215,42.90243635005173,21.150104744462137,12.720313448956402,8.180454181604079,-3.6400000000000006,80.595358622828,46.44930873840713,37.30216304776767,68.0,0.265625,0.195068359375,6.0,6.0,6.0,59.0,23.0,2.0,0.3898305084745763,0.03389830508474576,0.1016949152542373,0.5666666666666667,3.0,0.16666666666666666,0.16666666666666666,463.25933333333336,0.03333333333333333,3.5
9,49.32,1403.8049999999998,1402.4571632679992,6.850800000000011,343.5399999999999,556.5469115160332,31.0,31.0,51.0,3.0,3.0,0.7,91.0,1.469125844892714,2554.320598551433,67.30596812594251,43.235769683385065,21.977180594072998,13.057185777284985,8.334867521764073,-3.6400000000000006,81.59275030877085,45.68580111696124,36.72702596369969,71.0,0.27734375,0.2004241943359375,6.0,6.0,6.0,60.0,23.0,2.0,0.38333333333333336,0.03333333333333333,0.1,0.5604395604395604,3.0,0.16483516483516483,0.16483516483516483,467.93499999999995,0.03296703296703297,3.3333333333333335
10,11.48,1367.7749999999999,1366.4360338999993,6.938500000000011,317.25999999999993,545.4984845302932,29.0,29.0,49.0,3.0,3.0,0.6333333333333333,89.0,1.4513254835413951,2484.6139096950446,65.51307490712907,42.50858949993438,20.763752361013644,12.566072253968178,8.103784722462077,-4.080000000000001,79.15921897173803,46.064743692650886,37.273507221870595,69.0,0.26953125,0.1968841552734375,6.0,6.0,6.0,60.0,21.0,2.0,0.35,0.03333333333333333,0.1,0.550561797752809,1.0,0.16853932584269662,0.19101123595505617,455.92499999999995,0.033707865168539325,3.6842105263157894
11,5.17,1405.7769999999998,1404.436427823999,6.241700000000012,352.7699999999999,555.2955146311435,32.0,32.0,53.0,3.0,3.0,0.6949152542372882,91.0,1.361917227626342,2506.657402750565,66.92728846950217,43.47491599512316,21.049104019131672,12.42514060822477,8.037805072327652,-3.680000000000001,81.55285353095258,48.08046881526864,40.35576601473199,65.0,0.25390625,0.1894378662109375,6.0,6.0,6.0,59.0,24.0,2.0,0.4067796610169492,0.03389830508474576,0.1016949152542373,0.5824175824175825,3.0,0.16483516483516483,0.16483516483516483,468.5923333333333,0.03296703296703297,3.789473684210526
12,16.89,1485.863,1484.4626425719991,7.425500000000012,365.9099999999999,589.5118802156809,33.0,33.0,55.0,4.0,4.0,0.65625,97.0,1.135654275781595,2856.0632910610398,70.9104161326276,46.424405737906326,22.593901805831795,13.490909375466076,8.821865621354775,-4.400000000000002,85.0131580329476,49.21697615232349,39.993748749140714,66.0,0.2578125,0.19134521484375,6.0,6.0,6.0,64.0,25.0,2.0,0.390625,0.03125,0.09375,0.5670103092783505,4.0,0.15463917525773196,0.20618556701030927,495.28766666666667,0.041237113402061855,4.105263157894737
13,16.25,1499.89,1498.4782926359992,7.986500000000011,365.9099999999999,595.8768223300775,33.0,33.0,55.0,4.0,4.0,0.6615384615384615,98.0,1.1499907651961254,2892.6331421924133,71.78065962063067,46.85192609283489,23.010925115692363,13.926262445764724,9.010139245605982,-4.400000000000002,86.00893484047683,49.251862144508905,38.58167092224201,69.0,0.26953125,0.1968841552734375,6.0,6.0,6.0,65.0,25.0,2.0,0.38461538461538464,0.03076923076923077,0.09230769230769231,0.5612244897959183,4.0,0.15306122448979592,0.20408163265306123,499.96333333333337,0.04081632653061224,3.9
14,12.72,1513.917,1512.4939426999993,8.16060000000001,365.9099999999999,602.2417644444741,33.0,33.0,55.0,4.0,4.0,0.6666666666666666,99.0,1.1645785565328604,2943.2969928011644,72.70330935144105,47.18525942616822,23.838000965303223,14.263134774093308,9.164552585765977,-4.400000000000002,87.00479709755442,48.530625058955266,38.08534694795974,72.0,0.28125,0.2021484375,6.0,6.0,6.0,66.0,25.0,2.0,0.3787878787878788,0.030303030303030304,0.09090909090909091,0.5555555555555556,4.0,0.15151515151515152,0.20202020202020202,504.63899999999995,0.04040404040404041,3.7142857142857144
15,21.9,1477.887,1476.472813331999,8.248300000000008,339.62999999999994,591.1933374587339,31.0,31.0,53.0,4.0,4.0,0.6060606060606061,97.0,1.1518803553279504,2872.9728362213705,70.9104161326276,46.45807924271754,22.62457273224387,13.7720212507765,8.933469786463982,-4.840000000000001,84.57504399307307,48.85317140777328,38.5202842514327,70.0,0.2734375,0.19866943359375,6.0,6.0,6.0,66.0,23.0,2.0,0.3484848484848485,0.030303030303030304,0.09090909090909091,0.5463917525773195,2.0,0.15463917525773196,0.2268041237113402,492.62899999999996,0.041237113402061855,4.105263157894737
16,13.97,1323.6309999999999,1322.3581775039993,4.21230000000001,364.5399999999999,517.9237059027905,32.0,32.0,47.0,2.0,2.0,0.6981132075471698,85.0,1.839133782485617,2296.158679057006,63.27043422000978,40.346793457385914,19.15082616933618,11.214760611738296,7.082853239153155,-3.900000000000001,77.19684870801626,44.5199548555992,37.52868050152049,65.0,0.25390625,0.1894378662109375,8.0,8.0,8.0,53.0,24.0,2.0,0.4528301886792453,0.03773584905660377,0.11320754716981132,0.5529411764705883,2.0,0.2,0.11764705882352941,441.21033333333327,0.023529411764705882,3.0476190476190474
17,43.65,1403.7169999999999,1402.384392251999,5.3961000000000094,377.6799999999999,552.1400714873275,33.0,33.0,49.0,3.0,3.0,0.6551724137931034,91.0,1.440365812455106,2641.5952575061688,67.25356188313523,43.29628320016908,20.695623956036304,12.280529378979601,7.866913788180282,-4.620000000000002,80.61530588382236,45.66401807245803,37.16406662639428,66.0,0.2578125,0.19134521484375,8.0,8.0,8.0,58.0,25.0,2.0,0.43103448275862066,0.034482758620689655,0.10344827586206896,0.5384615384615384,3.0,0.18681318681318682,0.16483516483516483,467.9056666666666,0.03296703296703297,3.3333333333333335
18,44.49,1417.744,1416.4000423159991,5.9571000000000085,377.6799999999999,558.5050136017242,33.0,33.0,49.0,3.0,3.0,0.6610169491525424,92.0,1.4606104616515247,2677.8285490766693,68.1238053711383,43.723803555097646,21.11264726589687,12.715882449278249,8.055187412431492,-4.620000000000002,81.6126987319873,45.70221933873382,35.76129515853937,69.0,0.26953125,0.1968841552734375,8.0,8.0,8.0,59.0,25.0,2.0,0.423728813559322,0.03389830508474576,0.1016949152542373,0.532608695652174,3.0,0.18478260869565216,0.16304347826086957,472.5813333333333,0.03260869565217391,3.1818181818181817
19,63.47,1431.7709999999997,1430.4156923799992,6.1312000000000095,377.6799999999999,564.8699557161208,33.0,33.0,49.0,3.0,3.0,0.6666666666666666,93.0,1.4812088454523853,2727.9695100553704,69.04645510194868,44.057136888430975,21.939723115507732,13.052754777606832,8.209600752591488,-4.620000000000002,82.61014871535741,44.99142636289839,35.27402901466677,72.0,0.28125,0.2021484375,8.0,8.0,8.0,60.0,25.0,2.0,0.4166666666666667,0.03333333333333333,0.1,0.5268817204301075,3.0,0.1827956989247312,0.16129032258064516,477.2569999999999,0.03225806451612903,3.0434782608695654
