No,Mpa,mol%,MolWt,ExactMolWt,LogP,TPSA,LabuteASA,NumHAcceptors,NumHDonors,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumRings,FractionCSP3,HeavyAtomCount,RotatableBondRatio,NumBonds,NumHydroxyl,NumEster,NumCarboxylate,NumEther,NumCO,BalabanJ,BertzCT,Chi0,Chi1,Kappa1,NumDisulfide,NumCarbonate,NumArylEther,NumBenzene,NumFuran,CrosslinkingPotential,AromaticAtomRatio,Cat_MolWt,Cat_LogP,Cat_TPSA,Cat_NumHAcceptors,Cat_NumHDonors,Cat_NumRotatableBonds,Cat_NumAromaticRings,Cat_NumRings,Cat_Kappa1,Cat_Chi1,Cat_NumMetalAtoms,Cat_NumN,Cat_NumS,Cat_CoordinationPotential,Cat_N_Heterocycle,Cat_Concentration,Ratio_A,Ratio_B,Ratio_PTA,Polarity_Diff_AB,LogP_Diff_AB,Total_Crosslink_Potential,Rigidity_Flexibility_Balance
1,3.47,0.02,424.5382857,424.1450233,1.4616,112.5942857,209.6116939,10,1.714285714,19,0.571428571,0,0,0.571428571,0.733061224,27.42857143,0.338400291,56.14285714,1.714285714,2.571428571,0,2.571428571,2.571428571,5.835633849,1539.577494,45.9458461,24.42702036,5.498211266,0.857142857,0,0,0,0.571428571,0.184754376,0.097826087,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,96.3,1.3925,0.184754376,0.309901738
2,8.88,0.02,447.42,447.009656,1.799828571,116.3485714,220.9934789,10.28571429,1.714285714,19.57142857,0.857142857,0,0,0.857142857,0.710204082,29.14285714,0.333023525,59.28571429,1.714285714,2.571428571,0,2.571428571,2.571428571,5.353975464,1696.647719,48.09341977,25.72660533,5.889465104,0.857142857,0,0,0,0.857142857,0.17730096,0.124223602,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,109.44,0.2087,0.17730096,0.398984181
3,2.87,0.02,451.4277143,451.0141275,1.960114286,116.3485714,223.6148741,10.28571429,1.714285714,19.85714286,0.857142857,0,0,0.857142857,0.713890718,29.42857143,0.33315713,60.14285714,1.714285714,2.571428571,0,2.571428571,2.571428571,5.395322034,1727.246549,48.80770549,26.08374819,5.899534248,0.857142857,0,0,0,0.857142857,0.176243738,0.122902075,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,109.44,0.3523,0.176243738,0.394557823
4,3.36,0.02,455.4354286,455.0185989,2.009857143,116.3485714,226.2362693,10.28571429,1.714285714,20.14285714,0.857142857,0,0,0.857142857,0.717346939,29.71428571,0.33328247,61,1.714285714,2.571428571,0,2.571428571,2.571428571,5.437765077,1752.268599,49.5219912,26.44089104,5.911144442,0.857142857,0,0,0,0.857142857,0.175230567,0.121635611,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,109.44,0.5264,0.175230567,0.390333553
5,19.63,0.02,445.1411429,444.7268477,2.034914286,108.84,221.4738953,9.714285714,1.714285714,19,0.857142857,0,0,0.857142857,0.681632653,29.14285714,0.32674409,59.28571429,1.714285714,2.571428571,0,2.571428571,2.571428571,5.39997822,1705.530604,48.06347335,25.78042648,5.831323509,0.857142857,0,0,0.571428571,0.285714286,0.17730096,0.136645963,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,83.16,0.6141,0.17730096,0.455289362
6,27.35,0.02,433.3982857,433.0006176,1.527657143,116.9428571,213.108028,10.28571429,1.714285714,19.57142857,0.571428571,0,0,0.571428571,0.740204082,28,0.34473823,57,1.714285714,2.571428571,0,2.571428571,2.571428571,5.634828542,1551.925834,46.61352133,24.78688122,5.693616994,0.857142857,0,0,0,0.571428571,0.180779221,0.092857143,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,81.08,1.6237,0.180779221,0.280820106
7,10.36,0.02,456.28,455.8652504,1.865885714,120.6971429,224.489813,10.57142857,1.714285714,20.14285714,0.857142857,0,0,0.857142857,0.717346939,29.71428571,0.339361464,60.14285714,1.714285714,2.571428571,0,2.571428571,2.571428571,5.153170157,1708.996059,48.761095,26.08646619,6.084870832,0.857142857,0,0,0,0.857142857,0.173325805,0.119254658,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,94.22,0.4399,0.173325805,0.369902549
8,13,0.02,460.2877143,459.8697218,2.026171429,120.6971429,227.1112082,10.57142857,1.714285714,20.42857143,0.857142857,0,0,0.857142857,0.721033575,30,0.339495069,61,1.714285714,2.571428571,0,2.571428571,2.571428571,5.194516726,1739.594889,49.47538071,26.44360905,6.094939976,0.857142857,0,0,0,0.857142857,0.172268582,0.117933131,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,94.22,0.1211,0.172268582,0.36547619
9,49.32,0.02,464.2954286,463.8741933,2.075914286,120.6971429,229.7326034,10.57142857,1.714285714,20.71428571,0.857142857,0,0,0.857142857,0.724489796,30.28571429,0.339620409,61.85714286,1.714285714,2.571428571,0,2.571428571,2.571428571,5.236959769,1764.61694,50.18966643,26.80075191,6.10655017,0.857142857,0,0,0,0.857142857,0.171255411,0.116666667,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,94.22,0.2952,0.171255411,0.36125192
10,11.48,0.02,454.0011429,453.582442,2.100971429,113.1885714,224.9702294,10,1.714285714,19.57142857,0.857142857,0,0,0.857142857,0.68877551,29.71428571,0.333082029,60.14285714,1.714285714,2.571428571,0,2.571428571,2.571428571,5.199172912,1717.878945,48.73114858,26.14028735,6.026729237,0.857142857,0,0,0.571428571,0.285714286,0.173325805,0.131677019,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,67.94,0.3829,0.173325805,0.426207729
11,5.17,0.02,464.8588571,464.4396975,1.901885714,123.3342857,228.5722211,10.85714286,1.714285714,20.71428571,0.857142857,0,0,0.857142857,0.717476809,30.28571429,0.340729483,61.28571429,1.714285714,2.571428571,0,2.571428571,2.571428571,5.334126848,1721.515526,49.67741122,26.57421099,6.223680424,0.857142857,0,0,0,0.857142857,0.16969697,0.122294372,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,58.71,2.9335,0.16969697,0.382876383
12,16.89,0.02,487.7405714,487.3043302,2.240114286,127.0885714,239.9540062,11.14285714,1.714285714,21.28571429,1.142857143,0,0,1.142857143,0.694619666,32,0.335352717,64.42857143,1.714285714,2.571428571,0,2.571428571,2.571428571,4.852468463,1878.585751,51.8249849,27.87379596,6.614934262,0.857142857,0,0,0,1.142857143,0.162243554,0.148691888,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,71.85,1.7497,0.162243554,0.471958826
13,16.25,0.02,491.7482857,491.3088017,2.4004,127.0885714,242.5754013,11.14285714,1.714285714,21.57142857,1.142857143,0,0,1.142857143,0.698306302,32.28571429,0.335486322,65.28571429,1.714285714,2.571428571,0,2.571428571,2.571428571,4.893815033,1909.184582,52.53927061,28.23093881,6.625003407,0.857142857,0,0,0,1.142857143,0.161186331,0.14737036,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,71.85,1.1887,0.161186331,0.467532468
14,12.72,0.02,495.756,495.3132731,2.450142857,127.0885714,245.1967965,11.14285714,1.714285714,21.85714286,1.142857143,0,0,1.142857143,0.701762523,32.57142857,0.335611663,66.14285714,1.714285714,2.571428571,0,2.571428571,2.571428571,4.936258076,1934.206632,53.25355633,28.58808167,6.6366136,0.857142857,0,0,0,1.142857143,0.16017316,0.146103896,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,71.85,1.0146,0.16017316,0.463308197
15,21.9,0.02,485.4617143,485.0215219,2.4752,119.58,240.4344225,10.57142857,1.714285714,20.71428571,1.142857143,0,0,1.142857143,0.666048237,32,0.329073282,64.42857143,1.714285714,2.571428571,0,2.571428571,2.571428571,4.898471219,1887.468637,51.79503847,27.92761711,6.556792667,0.857142857,0,0,0.571428571,0.571428571,0.162243554,0.161114248,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,45.57,0.9269,0.162243554,0.528264007
16,13.97,0.02,441.3885714,440.9887688,1.322057143,126.6971429,213.8803601,10.85714286,1.714285714,19,0.571428571,0,0,0.571428571,0.704489796,28.57142857,0.336550152,56.42857143,1.714285714,3.142857143,0,3.142857143,3.142857143,5.58233185,1551.931837,46.08629291,24.60214029,6.13200362,0.857142857,0,0,0,0.571428571,0.198556999,0.088624339,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,46.94,0.9041,0.198556999,0.283446712
17,43.65,0.02,464.2702857,463.8534016,1.660285714,130.4514286,225.2621451,11.14285714,1.714285714,19.57142857,0.857142857,0,0,0.857142857,0.681632653,30.28571429,0.331173386,59.57142857,1.714285714,3.142857143,0,3.142857143,3.142857143,5.100673465,1709.002061,48.23386658,25.90172526,6.523257458,0.857142857,0,0,0,0.857142857,0.191103582,0.115021854,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,60.08,0.2797,0.191103582,0.372529155
18,44.49,0.02,468.278,467.857873,1.820571429,130.4514286,227.8835403,11.14285714,1.714285714,19.85714286,0.857142857,0,0,0.857142857,0.685319289,30.57142857,0.331306991,60.42857143,1.714285714,3.142857143,0,3.142857143,3.142857143,5.142020035,1739.600892,48.9481523,26.25886812,6.533326603,0.857142857,0,0,0,0.857142857,0.19004636,0.113700326,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,60.08,0.8407,0.19004636,0.368102797
19,63.47,0.02,472.2857143,471.8623445,1.870314286,130.4514286,230.5049355,11.14285714,1.714285714,20.14285714,0.857142857,0,0,0.857142857,0.68877551,30.85714286,0.331432332,61.28571429,1.714285714,3.142857143,0,3.142857143,3.142857143,5.184463078,1764.622942,49.66243801,26.61601097,6.544936796,0.857142857,0,0,0,0.857142857,0.189033189,0.112433862,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,60.08,1.0148,0.189033189,0.363878526
20,38.97,0.02,461.9914286,461.5705932,1.895371429,122.9428571,225.7425615,10.57142857,1.714285714,19,0.857142857,0,0,0.857142857,0.653061224,30.28571429,0.324893951,59.57142857,1.714285714,3.142857143,0,3.142857143,3.142857143,5.146676221,1717.884947,48.20392016,25.95554641,6.465115863,0.857142857,0,0,0.571428571,0.285714286,0.191103582,0.127444214,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,33.8,1.1025,0.191103582,0.428834336
21,14.85,0.02,472.8491429,472.4278486,1.696285714,133.0885714,229.3445532,11.42857143,1.714285714,20.14285714,0.857142857,0,0,0.857142857,0.691502783,30.85714286,0.334393078,60.71428571,1.714285714,3.142857143,0,3.142857143,3.142857143,5.308926486,1721.558286,49.15018281,26.38947005,6.664523339,0.857142857,0,0,0,0.857142857,0.184044527,0.117346939,139.202,0.0414,27.63,3,1,0,0,2,6.011043434,4.966326495,0,3,0,3,0,0.02,0.285714286,0.285714286,0.428571429,24.57,2.2139,0.184044527,0.386999244
