Filename,SMILES
A1.xyz,c1ccc(o1)CN(C[C@H]1CO1)C[C@H]1CO1
A2.xyz,c1(ccc(o1)COC[C@H]1CO1)COC[C@@H]1CO1
A3.xyz,c1(ccc(o1)COCc1ccc(o1)COC[C@@H]1CO1)COC[C@@H]1CO1
A4.xyz,c1(ccc(o1)C(=O)OC[C@H]1CO1)C(=O)OC[C@@H]1CO1
A5.xyz,c1(ccc(o1)COCc1ccc(o1)C(=O)OC[C@@H]1CO1)C(=O)OC[C@@H]1CO1
B1.xyz,c1(ccc(o1)CN(C[C@H]1CO1)C[C@H]1CO1)CN(C[C@H]1CO1)C[C@H]1CO1
B2.xyz,c1(ccc(o1)CN(C[C@H]1CO1)C[C@H]1CO1)Cc1ccc(CN(C[C@H]2CO2)C[C@H]2CO2)o1
B3.xyz,c1(ccc(o1)CN(C[C@H]1CO1)C[C@H]1CO1)[C@@H](c1ccc(CN(C[C@H]2CO2)C[C@H]2CO2)o1)C
B4.xyz,c1(ccc(o1)CN(C[C@H]1CO1)C[C@H]1CO1)C(c1ccc(CN(C[C@H]2CO2)C[C@H]2CO2)o1)(C)C
B5.xyz,N(C[C@H]1CO1)(C[C@H]1CO1)c1ccc(cc1)Cc1ccc(N(C[C@H]2CO2)C[C@H]2CO2)cc1
