,R2,R2_std,MAE,RMSE,training_time
Voting Ensemble,0.6471761010155314,0.18255009363706637,5.963652673839674,8.746814824348318,8.173401594161987
ExtraTrees,0.6302162334247589,0.23432562154094458,6.211571920272557,8.948415633620673,1.933769702911377
GradientBoosting,0.5984886619721289,0.14010855181192938,6.609028788428235,10.323447734213543,3.88968563079834
RandomForest,0.569318900133732,0.22037570939265386,7.147177776237036,9.839002204479772,2.5198445320129395
XGBoost,0.5194785664237737,0.25287339727820174,7.464169448777743,10.98388905460903,0.4246227741241455
SVR,0.3862501063332679,0.22593628510966743,8.62924348505507,11.803393948188013,0.02400064468383789
Stacking Ensemble,0.380083119438832,0.3177839056731786,8.4938689089364,11.109207703794214,39.05482602119446
LightGBM,0.24538703418885582,0.15387236567575666,10.472331123490537,13.836017664475296,0.1269974708557129
KNN,0.2024685349844376,0.3114537675449292,9.709405657239449,13.4875294395604,0.0729985237121582
MLP,0.16123467303012246,0.5175565240853929,11.244965446039442,17.861223135817536,3.037529706954956
ElasticNet,0.08011392776914193,0.26447265676489273,12.792934937031008,22.34360090544754,3.465611457824707
GaussianProcess,-4.33010064165333,3.4729312064286644,15.976275793323866,20.83754313970097,0.1309986114501953
