,R²,MAE,RMSE,R² std,MAE std,RMSE std
AdaBoost,0.30628757539843804,8.630680147811635,10.877877687968322,0.33772667304807147,2.2963361436147625,2.405249706586349
Random Forest,0.28432558229424915,9.757590676020403,11.595588598244001,0.17844624492593172,2.145966327759926,2.4568411941579456
Extra Trees,0.22007180070767343,8.59771477134685,11.393776066193416,0.4773693927225182,2.4979643387028876,2.5483313676687387
LightGBM,0.16292604104686711,10.559919051093031,12.615207130646963,0.39840295338049236,3.8789739281628726,4.352730512781878
Bayesian Ridge,0.12398274370931549,10.789602654537067,12.804433891709095,0.4522424973655545,3.821068018272443,4.379250503765146
XGBoost,0.11612057448064882,9.930258111807763,12.669664290099558,0.39107158823705446,2.806850219753664,3.1851386481839254
ElasticNet,0.08238131646601389,10.55530001447112,12.88085119703324,0.5214658678228771,3.72900897993424,4.76479473058732
Ridge Regression,0.06482446300513126,10.604939012718914,12.98146094704627,0.5257971005824191,3.903409967503449,4.888562901928776
Decision Tree,0.05099434303198309,9.675789476962947,12.579309329051824,0.5523593681384082,1.674360805134511,2.0975581976454696
Lasso Regression,0.026244628352873254,10.850925500291206,13.194863175357485,0.5160663741941175,3.661837320422292,4.691435187395109
SVR (linear),-0.02654010909379307,10.686153468992625,13.404026647910635,0.6116312565804909,3.3940017800066955,4.583177437094991
K-Nearest Neighbors,-0.035026567699057466,11.766658163265307,13.64287497978874,0.32170537741921906,1.771833196244039,2.164172040894408
Neural Network,-0.06592239147617011,9.859011911620403,12.789964622681465,0.8025036039074556,2.822030024188448,3.796670453533651
SGD Regressor,-0.07717222528044998,10.924520798216916,13.460481600553168,0.5925767580976125,3.004100246390389,4.09726116662358
Gradient Boosting,-0.10571833641820692,10.736635592271622,13.787351508833936,0.4715378121254996,1.8560576172416121,2.476669653063398
SVR (rbf),-0.19474276706700872,11.970107495600828,14.916690773221038,0.5141613929204512,3.0128174630967135,3.9400562880344983
Linear Regression,-8.65330380254723e+26,35677099222785.24,92374704061347.02,2.119617890552611e+27,87390688598442.39,226270890090867.2
